review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes,sentiment,sentiment_score,sentiment_meaning,review_length,word_count,cluster,topic,topic_confidence,year_month
Gcash WALANG KWENTA TO PAG NAWALA PERA MO..BAHALA KA SA BUHAY MO...MAHILIG LANG TO KUMUHA NG KUMUHA,1,117757*********258906,A Google user,5.54.0,2022-07-04 05:10:11+00:00,0,1 star,0.3398197293281555,Very negative,45,17,1,Payment and Bills,0.26322057843208313,2022-07
accounts have been compromised and account's balance have been stolen,1,112254*********734322,A Google user,5.64.1,2023-05-27 12:48:02+00:00,0,1 star,0.5490790009498596,Very negative,40,10,1,Security and Fraud,0.4220385253429413,2023-05
Can't login..,1,113197*********263810,Na************ia,5.33.0,2023-10-19 05:01:00+00:00,0,1 star,0.6660133004188538,Very negative,143,2,1,Account Login Issues,0.26769202947616577,2023-10
Lagi iuupdate kahit nkaupdate na!!!,1,102604*********004212,A Google user,5.52.0,2022-05-26 06:54:13+00:00,0,1 star,0.43298134207725525,Very negative,114,5,1,User Interface and Experience,0.19155023992061615,2022-05
It's so hard to fully verified my acount. I'm disappointed 😥 😥 😥...,1,112139*********224938,A Google user,5.40.0,2021-05-28 06:00:24+00:00,0,2 stars,0.5151265263557434,Negative,21,13,1,Account Login Issues,0.33484742045402527,2021-05
I have been trying to link my gcash mastercard to the app for almost 10 times already. I tried to uninstall and reinstall the app just to be sure that i got the latest version but stil! Can you fix this already? My ticket was tagged as solved but they didn't really solve my problem yet. I felt like i just wasted money on the mastercard since i cant even use it. Kindly solve this please.,1,106006*********200249,A Google user,5.53.1,2022-06-14 22:40:13+00:00,8,1 star,0.45557305216789246,Very negative,14,76,0,Customer Service Support,0.2977253496646881,2022-06
It takes too long to verify my email. Will change my rating if you can fix this. And I can't update the details in my other gcash account.,1,102430*********939485,A Google user,5.20.2,2019-10-05 15:58:30+00:00,0,2 stars,0.502784013748169,Negative,133,28,1,Account Login Issues,0.49633827805519104,2019-10
"It's been more than a week since I submitted an application for full verification. Yet until now, I haven't received any sms if my application has been approved or not.",1,111948*********058607,A Google user,5.49.1,2022-02-20 01:36:06+00:00,0,1 star,0.2969878017902374,Very negative,42,30,1,Account Login Issues,0.24197976291179657,2022-02
Always ask for update so annoying.. Everytime i open the app to buy load the service is alwalys unavailable.. Fix your app !!,1,105950*********332151,A Google user,5.47.0,2022-02-15 13:16:18+00:00,0,1 star,0.6737534999847412,Very negative,102,23,0,User Interface and Experience,0.33333247900009155,2022-02
"Im having problems of this update, I cant even verify my acc unless I use other type of ID but the last version it also includes students ID which is very easy for us to get verified. I already install it again and again because I really need to my gcash acc but still the problem doesn't change. I hope the developer add the student ID option for us to verify easily.",1,111913*********951556,A Google user,5.48.1,2022-02-02 12:19:23+00:00,1,3 stars,0.3399507999420166,Neutral,282,72,0,Account Login Issues,0.45963579416275024,2022-02
Bad experience. The app won't even let me choose what verification level I want it just proceeds to submitted application when I haven't done/written any application. Fix this please i can't use my gcash i have funds there,1,103332*********870477,A Google user,5.27.1,2020-04-09 10:08:10+00:00,7,1 star,0.8554151654243469,Very negative,186,38,0,User Interface and Experience,0.37612035870552063,2020-04
"poor security, umay walang ngrereply sa ticket,",1,104761*********177369,A Google user,5.66.3,2023-08-01 05:30:40+00:00,0,1 star,0.5158786177635193,Very negative,88,7,1,Fees and Charges,0.26882442831993103,2023-08
useless app can't even log in!!!!,1,111622*********504912,A Google user,5.0.0,2018-02-08 03:52:36+00:00,2,1 star,0.9333375096321106,Very negative,152,6,0,App Crashes or Bugs,0.3136555850505829,2018-02
ALWAYS UPDATING WHENVER IM OUTSIDE AND NEED TO USE IT IMMEDIATELY!!!!!,1,110613*********992116,A Google user,5.69.0,2023-10-23 02:18:59+00:00,0,5 stars,0.30141663551330566,Very Positive,44,11,1,User Interface and Experience,0.2855888605117798,2023-10
I am so disappointed... everytime that im going to log in... it will always asking for update... Please fix this problem,1,111756*********778309,A Google user,5.46.1,2021-12-11 09:16:53+00:00,1,1 star,0.611134946346283,Very negative,15,21,0,Account Login Issues,0.24339529871940613,2021-12
Always have a problem to log in...,1,108489*********747141,A Google user,5.68.1,2023-09-28 07:46:10+00:00,0,5 stars,0.2885047495365143,Very Positive,11,7,1,Customer Service Support,0.25931084156036377,2023-09
Hay naku gcash always na LNG network error nakakairita!,1,114357*********238998,A Google user,5.67.0,2023-08-21 01:18:17+00:00,0,1 star,0.5253286957740784,Very negative,92,9,1,Money Transfer and Cash In,0.2677430510520935,2023-08
"Im really disappointed with this app. First of all I didnt received my withdrawal funds from my online broker through my gcash mastercard but it still didnt appear in my gcash balance, second I email your support and I still didn't got a response about my concern. Third I tried to uninstall it but now I cant log in. How can you fix this? Because my broker said that they already sent the money back to my gcash and gave me an ARN.",1,108563*********772774,A Google user,5.22.1,2019-11-15 07:55:11+00:00,81,1 star,0.648633599281311,Very negative,314,83,0,Customer Service Support,0.31087952852249146,2019-11
"It so log everytime I want to buy load It not working properly pleasee fix this,thank you...",1,100367*********263596,A Google user,5.49.1,2022-03-15 10:51:27+00:00,0,1 star,0.6751136779785156,Very negative,19,17,0,App Crashes or Bugs,0.20779849588871002,2022-03
Good gcash my 200 is nothing,1,102403*********424816,A Google user,5.56.0,2022-12-20 04:00:44+00:00,0,4 stars,0.42397168278694153,Positive,107,6,1,User Interface and Experience,0.18348531424999237,2022-12
Puro update Wala nmn pag babago,1,110516*********487962,A Google user,5.62.0,2023-04-13 09:26:31+00:00,0,1 star,0.46274638175964355,Very negative,66,6,1,User Interface and Experience,0.2737940549850464,2023-04
they automatically deactivated my account. no reason at all. with funds on it. ongoing back and forth request for update. nothing. they dont even send out updates on the status of the complaint. reported to bsp.,1,104510*********162533,A Google user,5.64.1,2023-05-08 17:18:15+00:00,0,1 star,0.9018607139587402,Very negative,21,36,0,Account Login Issues,0.18502609431743622,2023-05
Everytime I cash-in it need to be UPDATED...so much hassle though.This is so time consumming app and OBSOLETE absolutely SLOW. HOPING TO IMPROVE AFTER 100 YEARS!,1,109747*********831404,A Google user,5.52.1,2022-06-09 09:33:09+00:00,0,1 star,0.5342363715171814,Very negative,14,26,0,User Interface and Experience,0.22896142303943634,2022-06
Easy to access. Not a good experience especially when someone is able to access ur account even though no info is shared. Filtering names didn't help either.,1,106235*********472530,A Google user,5.61.0,2023-02-28 15:00:32+00:00,5,3 stars,0.5174354910850525,Neutral,68,27,1,User Interface and Experience,0.2753772735595703,2023-02
"I report that can't login to my account. the worst of this situation the css agent give a wrong info about my concern. ""yung paaasahan kalang sa wala"" ""yung daig pa nila ung mga pelosopong taga kanto"" ""yung pinaka masaklap yung costumer service agent nila iba-iba ang mga sinabi about sa issue at ibuburo ka nila sa salitang monitor your ticket number po""",1,116327*********229935,A Google user,5.53.1,2022-07-02 06:49:16+00:00,0,1 star,0.8673267960548401,Very negative,21,63,0,Customer Service Support,0.35098448395729065,2022-07
what is gr30,1,102068*********615893,A Google user,5.13.2,2019-02-10 09:47:00+00:00,0,5 stars,0.3026250898838043,Very Positive,147,3,1,User Interface and Experience,0.24484169483184814,2019-02
It should free to open app in order to open any time.. but sadly you need data connection to open the app.. so 1 star for this app,1,110630*********424785,A Google user,5.41.0,2021-06-02 02:35:44+00:00,2,1 star,0.9755190014839172,Very negative,68,28,0,Fees and Charges,0.34245991706848145,2021-06
"My account was blacklisted without any reason. Submitted all requested documents. 2 months and i still dont have access. If you dont want to restore my account, tell me. Im consistently following up thru Gigi and im still getting same context of answers thru emails that its still on process. Do you really have a process?",1,108419*********976101,A Google user,5.68.0,2023-09-18 08:52:08+00:00,4,1 star,0.7070374488830566,Very negative,189,56,0,Account Login Issues,0.2977953255176544,2023-09
..always update the apps..😠,1,111988*********041821,A Google user,5.43.0,2021-09-11 02:01:19+00:00,0,5 stars,0.4702270030975342,Very Positive,229,4,1,User Interface and Experience,0.2033449113368988,2021-09
Ive been updating since yesterday. It says 100% update but then it will return from the start again. Its been like this a lot of times,1,113633*********943098,A Google user,5.35.0,2021-03-10 05:04:01+00:00,0,3 stars,0.2933584749698639,Neutral,48,26,1,App Crashes or Bugs,0.2039886713027954,2021-03
"Simple bug to be fix im a tm user and ur app telling me ""oops u must be a globe or tm subscriber"".",1,117139*********820832,A Google user,4.7.1,2017-12-24 06:56:56+00:00,4,1 star,0.5081380009651184,Very negative,63,23,1,User Interface and Experience,0.2506086230278015,2017-12
"Horrible, i hope you go bankrupt",1,113998*********271089,A Google user,5.63.2,2023-05-01 08:38:02+00:00,0,1 star,0.9355881810188293,Very negative,105,6,0,Fees and Charges,0.29921671748161316,2023-05
Please make an option to go through transactions kahit hindi na uupdate. Hassle pag emergency.,1,111868*********448535,A Google user,5.43.0,2021-09-11 10:17:18+00:00,0,1 star,0.5314289927482605,Very negative,482,15,1,User Interface and Experience,0.18338240683078766,2021-09
Why do i need to update the app before using? What if there is an emergency? How am i suppose to do it quickly.,1,102516*********886357,A Google user,5.56.0,2022-10-13 11:06:47+00:00,0,3 stars,0.3115016222000122,Neutral,397,24,1,User Interface and Experience,0.3028585910797119,2022-10
The new update of the home page is not good in the eye.,1,117553*********044775,A Google user,5.54.0,2022-06-30 01:38:15+00:00,1,2 stars,0.35410165786743164,Negative,54,13,1,User Interface and Experience,0.39555293321609497,2022-06
Always updating,1,114106*********844562,A Google user,5.52.0,2022-05-29 07:18:05+00:00,0,5 stars,0.3545518219470978,Very Positive,130,2,1,User Interface and Experience,0.19448941946029663,2022-05
Mabagal Ang process,1,106227*********100709,A Google user,5.69.0,2023-10-26 11:02:37+00:00,0,2 stars,0.4489033818244934,Negative,62,3,1,User Interface and Experience,0.28455662727355957,2023-10
"Why is it so hard to verify an account in this app,I already presented 3 types of ID as what is on the list and still not type of ID?How disappointing 🤦 I've been trying to verify my account for almost 2 years🥺",1,111119*********315579,A Google user,5.56.0,2022-09-22 07:06:52+00:00,0,2 stars,0.4550631046295166,Negative,199,43,1,Customer Service Support,0.2516847550868988,2022-09
Its crashing and disappearing in my phone. U better fix it because I still have gcredit and Ggives balance 😂😂😂,1,112637*********055529,A Google user,5.59.0,2022-12-02 03:37:31+00:00,0,2 stars,0.4773985743522644,Negative,225,20,1,App Crashes or Bugs,0.417768657207489,2022-12
Ive been waiting for my account verification for 1 month almost 2 now still my acc is still in upgrade process,1,118380*********659850,A Google user,5.54.0,2022-07-24 08:51:53+00:00,0,3 stars,0.2608456015586853,Neutral,74,21,1,Account Login Issues,0.2984275221824646,2022-07
so annoying😒😒,1,101634*********932342,A Google user,5.26.2,2020-08-06 14:55:56+00:00,0,3 stars,0.5787546634674072,Neutral,197,2,1,User Interface and Experience,0.16472412645816803,2020-08
"My application is not working. Done uninstalling and reinstalling but on the OTP there is on button for ""Send/Submit"".",1,113585*********452005,A Google user,5.57.1,2022-10-13 21:17:08+00:00,0,1 star,0.5483275651931763,Very negative,94,19,1,App Crashes or Bugs,0.2897127866744995,2022-10
potangina inupdate lang dina naopen,1,102675*********504400,A Google user,5.64.2,2023-05-28 10:54:59+00:00,0,1 star,0.42034515738487244,Very negative,269,5,1,User Interface and Experience,0.2815078794956207,2023-05
Keeps updating but still with everyday error. Been days that I 'm getting security error with my phone then app will force stop. Cant even do any simple transaction. Aaargh. I have to uninstall and reinstall with no success to fix the issue.,1,114990*********909722,A Google user,5.69.1,2023-10-27 13:56:38+00:00,2,2 stars,0.4271126985549927,Negative,11,43,0,App Crashes or Bugs,0.3701373040676117,2023-10
very poor service,1,115505*********771999,A Google user,5.54.0,2022-07-29 07:56:16+00:00,0,1 star,0.7558460235595703,Very negative,55,3,0,Customer Service Support,0.331727534532547,2022-07
The new update with authorization code didn't work,1,110831*********528580,A Google user,5.50.0,2022-03-25 04:09:45+00:00,0,1 star,0.5576604008674622,Very negative,118,8,1,App Crashes or Bugs,0.23840077221393585,2022-03
Hindi ko malog-in ang pin ng cash pagkatapos kung mag-update sa apps ng gcash...,1,109163*********297153,A Google user,5.58.2,2022-11-08 09:32:21+00:00,0,2 stars,0.34611034393310547,Negative,118,14,1,User Interface and Experience,0.2104400247335434,2022-11
"I'm very disappointed in this app because when I need this, I'm wondering that it's gone......",1,111465*********698044,A Google user,5.59.0,2022-12-09 23:36:36+00:00,0,2 stars,0.5180445313453674,Negative,41,16,1,App Crashes or Bugs,0.28559067845344543,2022-12
Keep updating for to slow,1,117974*********165574,A Google user,5.51.0,2023-06-20 02:13:14+00:00,0,3 stars,0.39004459977149963,Neutral,51,5,1,User Interface and Experience,0.1762818992137909,2023-06
When I tried to open the app it always disappeared. It was started after I updated the app into the latest version and I tried even until now but it remains the same.,1,113739*********271310,Ch**************ta,5.69.0,2023-10-16 11:51:16+00:00,1,2 stars,0.3853225111961365,Negative,150,33,1,App Crashes or Bugs,0.27940094470977783,2023-10
I was almost happy bout GCASH but the fact that i cannot open on my apps its very frustrating. Hope u could establish like a call center where we can tell our problem for our GCASH account.,1,100662*********004552,A Google user,5.21.2,2019-11-01 03:46:49+00:00,0,2 stars,0.55057692527771,Negative,385,37,1,Customer Service Support,0.28860896825790405,2019-11
It's taking too long to verify an account ano na one month na,1,101443*********478192,A Google user,5.42.0,2021-07-28 01:58:32+00:00,0,2 stars,0.44548314809799194,Negative,39,13,1,Account Login Issues,0.25385984778404236,2021-07
Ayaw ma update,1,107120*********507177,A Google user,5.54.0,2022-08-06 12:17:33+00:00,0,3 stars,0.2735082805156708,Neutral,52,3,1,User Interface and Experience,0.26914721727371216,2022-08
"It getting more complicated to cash in by a store, due to new transaction fees more store and people was not accepting gcash cash in.. Specially in an area where 7 eleven or machines are not available. And because you need to register before being a gcash partner store makes things very hard.",1,102865*********703681,A Google user,5.59.1,2022-12-12 07:55:36+00:00,0,2 stars,0.48443174362182617,Negative,10,53,0,Fees and Charges,0.47154220938682556,2022-12
"What is happening? Everytime I want to open the app, I have to unistall and reinstall the app. It keeps sending me to the app setting and it doesn't show the open option on the app store.",1,109234*********237261,A Google user,5.47.0,2021-12-16 05:10:18+00:00,49,1 star,0.5494813323020935,Very negative,128,37,0,User Interface and Experience,0.23642106354236603,2021-12
Ang lupet nyo talaga gcash. Lage kayo maintenance ng wala man lang kayo pasabi. Nakaregister naman mga number ng gcash members sanyo. Di man lang kayo mageffort mag announced ng maintenance system nyo!!!!,1,108453*********410008,A Google user,5.36.0,2021-06-16 11:18:29+00:00,0,1 star,0.39193758368492126,Very negative,59,33,1,User Interface and Experience,0.22330644726753235,2021-06
"Useless app. My only money was robbed that supposed to be used for the medication of my mother-in-law, and when i contacted customer support, they keep asking the same questions. in the end, after a long conversation wasted, they will just tell you to file a police report then send it to them. My gcash account is fully verified but easily taken down by the hacker and took my money.",1,102570*********627889,A Google user,5.59.0,2023-02-11 01:47:35+00:00,0,1 star,0.8470175862312317,Very negative,45,70,0,Security and Fraud,0.48641619086265564,2023-02
